iter	MultiClass
0	1.261003516
1	1.161554842
2	1.082938887
3	1.021848281
4	0.9731542677
5	0.9287981888
6	0.8942722871
7	0.8618765869
8	0.8335266508
9	0.8092436463
10	0.7854710262
11	0.7654528186
12	0.7469454135
13	0.7304417224
14	0.7159443374
15	0.7037156073
16	0.6920579152
17	0.6808512528
18	0.6712938007
19	0.6628417449
20	0.6545623815
21	0.6472529565
22	0.6399343828
23	0.6342604902
24	0.6290179575
25	0.6249710782
26	0.6197347125
27	0.6142176068
28	0.6106638262
29	0.6069174185
30	0.6020105524
31	0.5994698359
32	0.5961769638
33	0.5926237068
34	0.5899669324
35	0.586469082
36	0.5822575756
37	0.5789120926
38	0.5759584784
39	0.5738887512
40	0.5716248791
41	0.5696075296
42	0.5672716921
43	0.5666019456
44	0.5645672346
45	0.5622091313
46	0.5606598379
47	0.5590796963
48	0.5574466707
49	0.5555746801
50	0.5541273247
51	0.5523871542
52	0.5495274722
53	0.5482619082
54	0.5458407124
55	0.5438615919
56	0.5406316633
57	0.5389906951
58	0.5380533033
59	0.5368747027
60	0.5352692203
61	0.5339700195
62	0.5324874051
63	0.5310081346
64	0.5294875088
65	0.5273386634
66	0.5263212666
67	0.5244280543
68	0.5233369832
69	0.5221153452
70	0.5206510101
71	0.5195709425
72	0.5178412539
73	0.5169645084
74	0.5160664316
75	0.5147465968
76	0.5137291588
77	0.512463815
78	0.5115052265
79	0.5104381353
80	0.5098505907
81	0.5081096791
82	0.5073202849
83	0.5063939382
84	0.504918201
85	0.5037184836
86	0.5029621188
87	0.5019132127
88	0.5002535327
89	0.4993281111
90	0.4980470798
91	0.4970311802
92	0.4953452338
93	0.4938852777
94	0.4929843723
95	0.4919553698
96	0.4909135718
97	0.4899587655
98	0.4882452158
99	0.4869930442
100	0.4860519664
101	0.4849906671
102	0.4840445736
103	0.4828592197
104	0.4813791596
105	0.4803698599
106	0.479450823
107	0.4783322249
108	0.4768911291
109	0.4757137935
110	0.4746358336
111	0.473599338
112	0.4727158864
113	0.4720084835
114	0.4709761535
115	0.4696875701
116	0.4685724552
117	0.4671262132
118	0.4656626518
119	0.4648878656
120	0.4642040861
121	0.463176463
122	0.4622458243
123	0.460723927
124	0.4596463099
125	0.458268325
126	0.4572437376
127	0.4565240599
128	0.4556189709
129	0.4544888715
130	0.4529177756
131	0.4518257764
132	0.4508169374
133	0.4495581553
134	0.4490423147
135	0.4482781018
136	0.4470349185
137	0.446112337
138	0.4449967887
139	0.4444281795
140	0.443151624
141	0.4422310761
142	0.4413272508
143	0.4405877918
144	0.438910911
145	0.4380264388
146	0.4370260719
147	0.4363482747
